playerID,teamID,IP13,IP14,KRate13,KRate14,ERA13,ERA14,BABIP13,BABIP14
cashnan01,SDN,175.0000,123.3333,0.1810,0.1838,3.09,2.55,0.2725,0.2761
fistedo01,DET,208.6667,164.0000,0.1805,0.1480,3.67,2.41,0.3328,0.2652
keuchda01,HOU,153.6667,200.0000,0.1804,0.1807,5.15,2.93,0.3417,0.2973
hudsoti01,ATL,131.3333,189.3333,0.1779,0.1521,3.97,3.57,0.2850,0.3026
volqued01,SDN,142.3333,192.6667,0.1760,0.1731,6.01,3.04,0.3422,0.2690
lockeje01,PIT,166.3333,131.3333,0.1758,0.1624,3.52,3.91,0.2830,0.2824
carmofa01,TBA,151.0000,121.0000,0.1757,0.1423,4.89,3.87,0.3097,0.2608
woodtr01,CHN,200.0000,173.6667,0.1754,0.1869,3.11,5.03,0.2509,0.3244
jacksed01,CHN,175.3333,140.6667,0.1737,0.1943,4.98,6.33,0.3267,0.3571
mileywa01,ARI,202.6667,201.3333,0.1736,0.2113,3.55,4.34,0.2985,0.3211
eovalna01,MIA,106.3333,199.6667,0.1729,0.1663,3.39,4.37,0.2915,0.3271
mortoch02,PIT,116.0000,157.3333,0.1724,0.1892,3.26,3.72,0.3110,0.2991
vargaja01,LAA,150.0000,187.0000,0.1693,0.1620,4.02,3.71,0.3125,0.3002
niesejo01,NYN,143.0000,187.6667,0.1691,0.1756,3.71,3.4,0.3304,0.3093
geedi01,NYN,199.0000,137.3333,0.1688,0.1649,3.62,4.0,0.3007,0.2730
gonzami03,BAL,171.3333,159.0000,0.1685,0.1654,3.78,3.23,0.2613,0.2731
norribu01,HOU,126.0000,165.3333,0.1664,0.2023,3.93,3.65,0.3188,0.2798
haranaa01,SEA,120.3333,204.3333,0.1654,0.1838,5.76,3.57,0.2917,0.3241
richaga01,LAA,145.0000,168.6667,0.1629,0.2419,4.16,2.61,0.3068,0.2639
peralwi01,MIL,183.3333,198.6667,0.1608,0.1838,4.37,3.53,0.2984,0.2997
cahiltr01,ARI,146.6667,110.6667,0.1604,0.2104,3.99,5.61,0.2948,0.3563
buehrma01,TOR,203.6667,202.0000,0.1587,0.1389,4.15,3.39,0.3062,0.3193
hammeja01,BAL,139.3333,108.6667,0.1571,0.2424,4.97,2.98,0.3057,0.2737
delarjo01,COL,167.6667,184.3333,0.1569,0.1810,3.49,4.1,0.3099,0.2677
lohseky01,MIL,198.6667,198.3333,0.1551,0.1726,3.35,3.54,0.2796,0.2720
koehlto01,MIA,143.0000,191.3333,0.1531,0.1905,4.41,3.81,0.2910,0.2927
stulter01,SDN,203.6667,176.0000,0.1529,0.1455,3.93,4.3,0.3064,0.3032
danksjo01,CHA,138.3333,193.6667,0.1527,0.1509,4.75,4.74,0.2834,0.2932
leakemi01,CIN,192.3333,214.3333,0.1523,0.1818,3.37,3.7,0.2886,0.3008
colonba01,OAK,190.3333,202.3333,0.1521,0.1785,2.65,4.09,0.2954,0.3111
lylesjo01,HOU,141.6667,126.6667,0.1449,0.1648,5.59,4.33,0.3136,0.2979
vogelry01,SFN,103.6667,184.6667,0.1435,0.1936,5.73,4.0,0.3234,0.2996
kendrky01,PHI,182.0000,199.0000,0.1375,0.1399,4.7,4.61,0.3114,0.2981
alvarhe01,MIA,102.6667,187.0000,0.1364,0.1438,3.59,2.65,0.2708,0.3072
mccarbr01,ARI,135.0000,109.6667,0.1317,0.1996,4.53,5.01,0.3246,0.3473
correke01,MIN,185.3333,129.3333,0.1275,0.1066,4.18,4.94,0.3160,0.3130
guthrje01,KCA,211.6667,202.6667,0.1227,0.1435,4.04,4.13,0.2964,0.2945
